Start : 2025-03-25T15:38:52.506Z
Connection established 
data={"name":"ПМЛ-2561ДМ , АС220, реверсн. подвійний пускач магн.","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"ПМЛ-4160М , АС220, пускач магн.","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":2000,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"ПМЛ-5160ДМ , АС220, пускач магн.","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"ПМЛ-5100 , АС220, пускач магн.","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":9700,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"ПМЛ-6100 , АС220, пускач магн.","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"ПМЛ-7100 , АС220, пускач магн.","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":13000,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"РТЛ-1007; 1.5..2.6А; Реле теплове","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":355.2,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"РТЛ-1008; 2.4..4А; Реле теплове","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":355.2,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"РТЛ-1014; 7..10А; Реле теплове","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":355.2,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Симістор ТС-112-16-4..10","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Симістор ТС-122-25-4..10","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Симістор ТС-132-50-4..10","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Симістор ТС-142-80-4..10","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":530,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Симістор ТС-152-125-4..10","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":850,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Симістор ТС-152-160-4..10","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":850,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Ручка пластикова 118мм чорна, посилена","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":45,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Сітка 20х20х2, 304S","techUnits":"м2","techToAcc":1,"accUnits":"м2","price":850,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Сітка 25х25х2, 304S","techUnits":"м2","techToAcc":1,"accUnits":"м2","price":850,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Сітка 25х25х2, Оц","techUnits":"м2","techToAcc":1,"accUnits":"м2","price":220,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Сітка 0,4х0,4х0,3, 304S","techUnits":"м2","techToAcc":1,"accUnits":"м2","price":1050,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Термопара ТХА-101М-012.03; 1200С; L=500; d=8; l=300","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":190,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Термопара ТХА-101М-012.03; 1100С; L=600; d=6; l=300","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":1670,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Термопара ТХК-101М; L=500; d=8; l=100","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":190,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Провід ПВ-3-1.5","techUnits":"м","techToAcc":1,"accUnits":"м","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Провід ПВ-3-2.5","techUnits":"м","techToAcc":1,"accUnits":"м","price":12,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
